year capday nC1
2008 87 1
2009 105 0
2010 79 0
2015 114 0
2008 89 0
2008 100 0
2010 76 0
2008 101 1
2008 100 0
2008 117 0
2008 117 2
2008 119 0
2010 87 1
2008 120 0
2011 83 2
2009 92 0
2009 93 0
2009 96 0
2009 102 0
2009 103 0
2009 107 1
2010 79 0
2009 108 0
2009 111 0
2009 120 0
2010 75 3
2010 78 1
2010 89 0
2010 90 2
2010 92 0
2010 93 0
2010 99 2
2010 105 2
2010 108 3
2016 97 1
2010 109 0
2010 112 1
2010 116 2
2011 103 0
2010 117 0
2013 101 0
2010 119 2
2011 75 0
2015 91 0
2010 119 2
2011 74 0
2016 116 1
2011 83 0
2013 77 1
2011 85 1
2011 85 1
2011 96 0
2015 111 0
2011 101 1
2011 103 0
2015 86 2
2016 88 0
2011 104 0
2011 110 1
2011 112 1
2011 115 0
2011 118 0
2013 80 0
2013 93 1
2013 94 3
2013 98 0
2013 101 2
2013 104 0
2013 114 2
2013 119 0
2013 120 0
2015 84 0
2015 87 0
2015 90 0
2016 89 0
2015 93 0
2015 101 0
2015 102 0
2015 103 0
2015 105 2
2016 90 0
2015 106 2
2015 107 0
2015 107 1
2016 82 0
2016 86 0
2016 88 1
2016 96 0
2016 96 2
2016 98 2
2016 98 0
2016 99 2
2016 100 0
2016 103 0
2016 104 1
2016 104 0
2016 105 2
2016 105 1
2016 106 1
2016 106 0
2016 110 1
2016 111 0
2016 117 2
